Stock Code,Company Name,URL
5277,FOUNDPAC GROUP BERHAD,http://www.foundpac.com/
3689,FRASER & NEAVE HOLDINGS BHD,http://www.fn.com.my
7210,FREIGHT MANAGEMENT HOLDINGS BERHAD,http://www.fp-group.com/prosonic/
0128,FRONTKEN CORPORATION BERHAD,http://www.frontken.com
9377,FSBM HOLDINGS BERHAD,http://www.fsbm.com.my/
7184,G3 GLOBAL BERHAD,http://www.g3global.com.my
5226,GABUNGAN AQRS BERHAD,http://www.gbg.com.my/
9261,GADANG HOLDINGS BHD,http://www.gadang.com.my
5398,GAMUDA BERHAD,http://www.gamuda.com.my
5209,GAS MALAYSIA BERHAD,http://www.gasmalaysia.com
0078,GD EXPRESS CARRIER BERHAD,http://www.gdexpress.com
7197,GE-SHEN CORPORATION BERHAD,http://www.gscorp.com.my/
3182,GENTING BERHAD,http://www.genting.com
4715,GENTING MALAYSIA BERHAD,http://www.gentingmalaysia.com
2291,GENTING PLANTATIONS BERHAD,http://www.gentingplantations.com
3204,GEORGE KENT (MALAYSIA) BERHAD,http://www.georgekent.net
5079,GETS GLOBAL BERHAD,http://www.kbes.com.my
0021,GHL SYSTEMS BERHAD,http://www.ghl.com
1147,GLOBAL ORIENTAL BERHAD,http://www.gob.com.my
5220,GLOBALTEC FORMATION BERHAD,http://www.globaltec.com.my
7022,GLOBETRONICS TECHNOLOGY BERHAD,http://www.globetronics.com.my
5020,GLOMAC BERHAD,http://www.glomac.com.my
7382,GOLDEN LAND BERHAD,http://www.glbhd.com
5649,GOLDEN PHAROS BERHAD,http://www.goldenpharos.com
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD,http://www.giibworld.com/
2135,GOPENG BERHAD,http://www.gopeng.com.my/
7096,GPA HOLDINGS BERHAD,http://www.gp-products.com
5592,GRAND CENTRAL ENTERPRISES BHD,http://www.gcebhd.com.my
7010,GRAND HOOVER BERHAD,http://www.hoover.com.my 
0056,GRAND-FLO BERHAD,http://www.grand-flo.com
0082,GREEN PACKET BERHAD,http://www.greenpacket.com
0136,GREENYIELD BERHAD,http://www.greenyield.com.my
9962,GROMUTUAL BERHAD,http://www.gromutual.com
7077,GSB GROUP BERHAD,http://www.gsbsummit.com
5102,GUAN CHONG BERHAD,http://www.guanchong.com.my
3247,GUH HOLDINGS BERHAD,http://www.guh.com.my
7676,GUNUNG CAPITAL BERHAD,http://www.gunung.com.my
1503,GUOCOLAND (MALAYSIA) BERHAD,http://www.guocoland.com.my
7668,HAI-O ENTERPRISE BERHAD,http://www.hai-o.com.my
7253,HANDAL ENERGY BERHAD,http://www.handalresources.com.my
3034,HAP SENG CONSOLIDATED BERHAD,http://www.hapseng.com.my
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,http://www.hapsengplantations.com.my
2062,HARBOUR-LINK GROUP BERHAD,http://www.harbour.com.my
7501,HARN LEN CORPORATION BHD,http://harnlen.com.my/
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,http://www.harrisons.com.my
5168,HARTALEGA HOLDINGS BERHAD,http://www.hartalega.com.my/
5187,HB GLOBAL LIMITED,https://www.hbglobal.asia/
7105,HCK CAPITAL GROUP BERHAD,http://www.hckcapital.com
3255,HEINEKEN MALAYSIA BERHAD,http://www.gab.com.my
5028,HEITECH PADU BERHAD,http://www.heitech.com.my/v2/
5121,HEKTAR REAL ESTATE INVESTMENT TRUST,http://www.HektarREIT.com
4324,HENGYUAN REFINING COMPANY BERHAD,http://www.hrc.com.my/
5095,HEVEABOARD BERHAD,http://www.heveaboard.com.my
5151,HEXTAR GLOBAL BERHAD,http://www.halex-group.com
3298,HEXZA CORPORATION BERHAD,http://www.hexza.com.my
5072,HIAP TECK VENTURE BERHAD,http://www.htgrp.com.my
5199,HIBISCUS PETROLEUM BERHAD,http://www.hibiscuspetroleum.com
8443,HIL INDUSTRIES BERHAD,http://www.hil.com.my
5169,HO HUP CONSTRUCTION COMPANY BHD,http://www.hohupgroup.com.my/
9601,HO WAH GENTING BERHAD,http://www.hwgenting.com.my
5165,HOCK HENG STONE INDUSTRIES BHD,http://www.hockheng.com.my
6238,HOCK SENG LEE BERHAD,http://www.hsl.com.my
5160,HOMERITZ CORPORATION BERHAD,http://www.homeritzcorp.com
5819,HONG LEONG BANK BERHAD,http://www.hlb.com.my
5274,HONG LEONG CAPITAL BERHAD,http://www.hlgcap.com.my
1082,HONG LEONG FINANCIAL GROUP BERHAD,http://www.hlfg.com.my
3301,HONG LEONG INDUSTRIES BERHAD,http://www.hli.com.my
5291,HPMT HOLDINGS BERHAD,https://www.hpmt-industries.com/
0185,HSS ENGINEERS BERHAD,http://www.hssgroup.com.my/
5062,HUA YANG BERHAD,http://www.huayang.com.my
7013,HUBLINE BERHAD,http://www.hubline.com
5000,HUME INDUSTRIES BERHAD,http://www.humeind.com/
5024,HUP SENG INDUSTRIES BERHAD,http://www.hsib.com.my/
8478,HWA TAI INDUSTRIES BERHAD,http://www.hwatai.com
4251,I-BERHAD,http://www.i-bhd.com
5084,IBRACO BERHAD,http://www.ibraco.com
5108,ICAPITAL.BIZ BERHAD,http://www.icapital.my
5255,ICON OFFSHORE BERHAD,http://www.iconoffshore.com.my
9113,ICONIC WORLDWIDE BERHAD,http://www.sanbumi.com.my
9687,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,http://www.idealubb.cc/
5606,IGB BERHAD,http://www.igbbhd.com/
5227,IGB REAL ESTATE INVESTMENT TRUST,http://www.igbreit.com/
5225,IHH HEALTHCARE BERHAD,http://www.ihhhealthcare.com/
3336,IJM CORPORATION BERHAD,http://www.ijm.com/
2216,IJM PLANTATIONS BERHAD,http://www.ijm.com/
5268,IKHMAS JAYA GROUP BERHAD,http://www.ikhmasjaya.com/
7222,IMASPRO CORPORATION BERHAD,http://www.imaspro.com/
7243,IMPIANA HOTELS BERHAD,http://www.bioosmobhd.com
0166,INARI AMERTRON BERHAD,http://www.inari-amertron.com
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,http://www.ikkr.com.my
9393,INDUSTRONICS BERHAD,http://www.industronics.com.my
6262,INNOPRISE PLANTATIONS BERHAD,http://innoprise.com.my/
3379,INSAS BERHAD,http://www.insas.net
0192,INTA BINA GROUP BERHAD,http://intabina.com/
5614,INTEGRATED LOGISTICS BHD,http://www.ilb.com.my
1961,IOI CORPORATION BERHAD,http://www.ioigroup.com
5249,IOI PROPERTIES GROUP BERHAD,http://www.ioipropertiesgroup.com
5673,IPMUDA BERHAD,http://www.ipmuda.com.my
5107,IQ GROUP HOLDINGS BERHAD,http://www.iq-group.com
7183,IRE-TEX CORPORATION BERHAD,http://www.iretex.com.my/
8834,IREKA CORPORATION BERHAD,http://www.ireka.com.my
1589,ISKANDAR WATERFRONT CITY BERHAD,http://www.tebrauteguh.com.my
5175,IVORY PROPERTIES GROUP BERHAD,http://www.ivory.com.my
7043,JADE MARVEL GROUP BERHAD,http://www.jmr.com.my
7223,JADI IMAGING HOLDINGS BERHAD,http://www.jadi.com.my
4723,JAKS RESOURCES BERHAD,http://www.jaks.com.my
8648,JASA KITA BERHAD,http://www.jasakita.com.my
4383,JAYA TIASA HOLDINGS BHD,http://www.jayatiasa.net
7152,JAYCORP BERHAD,http://www.jaycorp.com.my
0058,JCBNEXT BERHAD,http://jcbnext.com/
5161,JCY INTERNATIONAL BERHAD,http://www.jcyinternational.com
8931,JERASIA CAPITAL BERHAD,http://www.jerasia.biz
8923,JIANKUN INTERNATIONAL BERHAD,http://www.jki.com.my/
6769,JKG LAND BERHAD,http://www.keladimaju.com
3441,JOHAN HOLDINGS BERHAD,http://www.johanholdings.com
7167,JOHORE TIN BERHAD,http://www.johoretin.com.my/
5172,K-STAR SPORTS LIMITED,http://www.kstarsports.com
5192,K.SENG SENG CORPORATION BERHAD,http://www.kssc.com.my
8672,KAMDAR GROUP (M) BERHAD,http://www.kamdar.com.my
5247,KAREX BERHAD,http://www.karex.com.my
0054,KARYON INDUSTRIES BERHAD,http://www.karyongroup.com.my
7216,KAWAN FOOD BERHAD,http://www.kawanfood.com/
3476,KECK SENG (MALAYSIA) BERHAD,http://www.my.keckseng.com
7199,KEIN HING INTERNATIONAL BERHAD,http://www.keinhing.com
0151,KELINGTON GROUP BERHAD,http://www.kelington-group.com/
7323,KEN HOLDINGS BERHAD,http://www.kenholdings.com.my
6483,KENANGA INVESTMENT BANK BERHAD,http://www.kenanga.com.my
7161,KERJAYA PROSPEK GROUP BERHAD,http://www.fututech.com.my
9334,KESM INDUSTRIES BERHAD,http://www.kesmi.com
0143,KEY ASIC BERHAD,http://www.keyasic.com
6203,KHEE SAN BERHAD,http://www.kheesan.com
7062,KHIND HOLDINGS BERHAD,http://www.khind.com
6211,KIA LIM BERHAD,http://www.kialim.com.my
5371,KIM HIN INDUSTRY BERHAD,http://www.kimhin.com.my
5027,KIM LOONG RESOURCES BERHAD,http://www.kimloong.com.my/
5171,KIMLUN CORPORATION BERHAD,http://www.kimlun.com
5060,KINSTEEL BHD,http://www.kinsteel.com.my
5280,KIP REAL ESTATE INVESTMENT TRUST,http://www.kipreit.com.my/
9466,KKB ENGINEERING BERHAD,http://www.kkbeb.com.my/
5235SS,KLCC REAL ESTATE INVESTMENT TRUST ,http://www.klcc.com.my
2453,KLUANG RUBBER COMPANY (MALAYA) BERHAD,http://www.kluangrubber.com
7164,KNM GROUP BERHAD,http://www.knm-group.com
5035,KNUSFORD BERHAD,http://www.knusford.com.my
6971,KOBAY TECHNOLOGY BERHAD,http://www.kobaytech.com
7017,KOMARKCORP BERHAD,http://www.komark.com.my
4847,KONSORTIUM TRANSNASIONAL BERHAD,http://www.ktb.com.my
7153,KOSSAN RUBBER INDUSTRIES BERHAD,http://www.kossan.com/
0002,KOTRA INDUSTRIES BERHAD,http://www.kotrapharma.com
5878,KPJ HEALTHCARE BERHAD,http://www.kpjhealth.com.my
9121,KPS CONSORTIUM BERHAD,http://www.kpscb.com.my
1996,KRETAM HOLDINGS BERHAD,http://www.kretam.com
5038,KSL HOLDINGS BERHAD,http://www.ksl.net.my/
2445,KUALA LUMPUR KEPONG BERHAD,http://www.klk.com.my
6874,KUB MALAYSIA BERHAD,http://www.kub.com.my/
2186,KUCHAI DEVELOPMENT BERHAD,http://www.kuchaidevelopment.com
6491,KUMPULAN FIMA BERHAD,http://www.fima.com.my/
7033,KUMPULAN H & L HIGH-TECH BERHAD,http://www.hlhightech.com
9083,KUMPULAN JETSON BERHAD,http://www.jetson.com.my
5843,KUMPULAN PERANGSANG SELANGOR BERHAD,http://www.kps.com.my/
7130,KUMPULAN POWERNET BERHAD,http://www.powernet.com.my
6572,KWANTAS CORPORATION BERHAD,http://www.kwantas.com.my
8362,KYM HOLDINGS BERHAD,http://www.kym.com.my
3174,LAND & GENERAL BERHAD,http://www.land-general.com
1643,LANDMARKS BERHAD,http://www.landmarks.com.my
7006,LATITUDE TREE HOLDINGS BERHAD,http://www.lattree.com
9385,LAY HONG BERHAD,http://www.layhong.com.my
9326,LB ALUMINIUM BERHAD,http://www.lbalum.com
8494,LBI CAPITAL BERHAD,http://www.lbi-capital.com.my
5789,LBS BINA GROUP BERHAD,http://www.lbs.com.my
9881,LEADER STEEL HOLDINGS BERHAD,http://www.leadersteel.my/
9628,LEBTECH BERHAD,http://www.lebtech.com.my/annual.htm
8079,LEE SWEE KIAT GROUP BERHAD,http://www.lsk.com.my
5232,LEON FUAT BERHAD,http://www.leonfuat.com.my
6633,LEONG HUP INTERNATIONAL BERHAD,https://www.leonghupinternational.com/
8745,LEWEKO RESOURCES BERHAD,https://www.leweko.com/
7170,LFE CORPORATION BERHAD,http://www.lfe.com.my
3573,LIEN HOE CORPORATION BERHAD,http://www.lienhoe.com.my
7089,LII HEN INDUSTRIES BHD.,http://www.liihenfurniture.com/
6645,LINGKARAN TRANS KOTA HOLDINGS BERHAD,http://www.litrak.com.my
4235,LION INDUSTRIES CORPORATION BERHAD,http://www.lion.com.my/lionind
8486,LION FOREST INDUSTRIES BERHAD,http://www.lion.com.my/lionfib
7126,LONDON BISCUITS BERHAD,http://www.londonbiscuits.com.my
